,path,区位,餐饮,房间设施,娱乐设施,店内设施,服务,风格化,其他,主观感受
0,827100_0.jpg,0,0,1,0,0,0,0,0,0
1,664391_4.jpg,0,0,1,0,0,0,0,0,0
2,1383624_4.jpg,0,0,1,0,0,0,0,0,0
3,561625_3.jpg,0,0,1,0,0,0,0,0,0
4,1196234_1.jpg,0,0,1,0,0,0,0,0,1
5,1449474_3.jpg,0,0,1,0,0,0,0,0,-1
6,228777_0.jpg,0,0,1,0,0,0,0,0,-1
7,1422474_0.jpg,0,0,1,0,0,0,0,0,0
8,411301_2.jpg,0,0,0,0,1,0,0,0,0
9,345838_3.jpg,0,0,1,0,0,0,0,0,0
10,1356654_3.jpg,0,0,1,0,0,0,0,0,0
11,984839_2.jpg,0,0,1,0,0,0,1,0,0
12,583646_3.jpg,1,0,0,0,0,0,0,0,0
13,1449791_1.jpg,0,0,1,0,0,0,0,0,0
14,1336989_1.jpg,1,0,0,0,0,0,0,0,0
15,1397052_2.jpg,0,0,1,0,0,0,0,0,0
16,1385130_1.jpg,0,0,1,0,0,0,1,0,0
17,1218812_3.jpg,0,0,1,0,0,0,0,0,1
18,39155_3.jpg,0,0,0,0,1,0,0,0,0
19,1441134_4.jpg,0,0,1,0,0,0,0,0,0
20,1415124_2.jpg,0,1,0,0,0,0,0,0,0
21,622570_4.jpg,0,0,1,0,0,0,0,0,0
22,168366_2.jpg,0,0,0,0,1,0,1,0,0
23,1175010_5.jpg,1,0,0,0,0,0,0,0,0
24,1304231_3.jpg,0,0,1,0,0,0,0,0,0
25,746032_2.jpg,0,0,0,0,1,0,0,0,-1
26,1222627_4.jpg,0,0,1,0,0,0,0,0,0
27,1343433_4.jpg,0,0,1,0,0,0,0,0,0
28,1090044_0.jpg,0,1,0,0,0,0,0,0,0
29,1604229_1.jpg,0,0,0,0,0,0,1,0,0
30,1549153_4.jpg,0,0,1,0,0,0,0,0,0
31,1335048_3.jpg,0,0,0,0,1,0,0,0,0
32,1032940_4.jpg,0,1,0,0,0,0,0,0,0
33,57002_0.jpg,1,0,0,0,0,0,0,0,0
34,645964_1.jpg,0,0,1,0,0,0,0,0,0
35,1549153_2.jpg,1,0,1,0,0,0,0,0,0
36,579842_3.jpg,0,0,1,0,0,0,0,0,0
37,95244_1.jpg,0,0,1,0,0,0,0,0,0
38,1407577_3.jpg,0,0,1,0,0,0,0,0,0
39,724415_2.jpg,0,0,0,0,1,0,1,0,0
40,1004278_5.jpg,0,0,1,0,0,0,0,0,-1
41,724694_5.jpg,0,0,1,0,0,0,0,0,0
42,393664_2.jpg,0,0,1,0,0,0,0,0,0
43,690126_2.jpg,0,1,0,0,0,0,0,0,0
44,1006648_5.jpg,0,0,0,0,1,0,0,0,1
45,1448801_1.jpg,0,0,1,0,0,0,0,0,0
46,1488086_2.jpg,0,0,1,0,0,0,0,0,0
47,1024835_1.jpg,0,0,1,0,0,0,0,0,0
48,112136_0.jpg,0,0,1,0,0,0,0,0,0
49,1355783_0.jpg,0,0,1,0,0,0,0,0,0
50,1409780_2.jpg,0,0,1,0,0,0,0,0,0
